werknemer_id,datum,geboortedatum,startdatum,einddatum,leeftijd,dienstperiode,stad,klant_id,geslacht_id,geslacht,status_jaar,status,status_actief,status_beëindigd,afdeling_Accountant,afdeling_Administratief medewerker,afdeling_BI,afdeling_Boekhouder,afdeling_Business analist,afdeling_Business controller,afdeling_Business development,afdeling_Credit controller,afdeling_Financial controller,afdeling_HR,afdeling_IT,afdeling_Legal,afdeling_Marketing,afdeling_Office manager,afdeling_Project controller,business_unit_Detachering,business_unit_Intern,uitdienst_reden_Niet van toepassing,uitdienst_reden_Ontslag,uitdienst_reden_Vertrek,geslacht_id_Man,geslacht_id_Vrouw,reisafstand,aantal_geboortes,aantal_geboortes_pf,leeftijd_begin_dienst
5387,2015-12-31 05:06:00,1976-11-06,2006-09-20 05:06:00,2019-12-30 05:06:00,39.0,9,Barendrecht,13,V,Vrouw,2015,Actief,0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,113,8.1,48.5,30.0
7937,2018-12-01 05:06:00,1996-10-22,2017-04-05 05:06:00,2018-12-06 05:06:00,22.0,1,Amsterdam,44,V,Vrouw,2018,Beëindigd,0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,53,10.9,32.1,21.0
8026,2019-02-01 05:06:00,1997-07-02,2017-08-16 05:06:00,2019-02-16 05:06:00,21.0,2,Dordrecht,26,V,Vrouw,2019,Beëindigd,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,112,10.1,46.1,19.0
6875,2015-12-31 05:06:00,1988-10-15,2013-01-09 05:06:00,2018-10-16 05:06:00,27.0,6,Rotterdam,46,V,Vrouw,2015,Actief,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,105,10.9,38.9,21.0
1631,2015-12-31 05:06:00,1955-08-20,1995-07-08 05:06:00,2020-08-19 05:06:00,60.0,20,Amsterdam,41,V,Vrouw,2015,Actief,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,53,10.9,32.1,40.0
3169,2019-12-01 05:06:00,1963-12-20,1999-12-02 05:06:00,2019-12-30 05:06:00,56.0,20,Den Haag,10,M,Man,2019,Beëindigd,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,115,10.2,39.8,36.0
6869,2017-12-31 05:06:00,1988-09-28,2012-12-31 05:06:00,2018-09-29 05:06:00,29.0,4,Haarlem,5,V,Vrouw,2017,Actief,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,81,11.0,43.9,25.0
6828,2013-12-31 05:06:00,1988-05-31,2012-10-29 05:06:00,2018-06-01 05:06:00,25.0,1,Leiden,33,V,Vrouw,2013,Actief,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,88,8.0,27.6,24.0
6790,2014-12-31 05:06:00,1988-03-13,2012-09-17 05:06:00,2015-01-24 05:06:00,26.0,2,Amsterdam,43,V,Vrouw,2014,Actief,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,53,10.9,32.1,24.0
4827,2012-12-30 05:06:00,1953-03-01,2004-09-05 05:06:00,2018-03-01 05:06:00,59.0,8,Amsterdam,35,V,Vrouw,2012,Actief,0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,53,10.9,32.1,51.0
